ISO3,Name,Year,Start Date,Event Name,Hazard Category,Hazard Type,New Displacements
USA,United States,2011,2011-01-01,,Weather related,Wildfire,3000
USA,United States,2011,2011-01-01,,Weather related,Storm,
USA,United States,2011,2011-01-01,,Weather related,Storm,
USA,United States,2011,2011-01-01,,Weather related,Flood,
USA,United States,2012,2012-01-01,,Weather related,Storm,775761
USA,United States,2012,2012-01-01,,Weather related,Wildfire,39600
USA,United States,2012,2012-01-01,,Weather related,Flood,30
USA,United States,2012,2012-01-01,,Weather related,Wildfire,3000
USA,United States,2012,2012-01-01,,Weather related,Storm,
USA,United States,2012,2012-01-01,,Weather related,Storm,
USA,United States,2012,2012-01-01,,Weather related,Storm,60000
USA,United States,2012,2012-01-01,,Weather related,Wildfire,120
USA,United States,2012,2012-01-01,,Weather related,Storm,115
USA,United States,2012,2012-01-01,,Weather related,Flood,177
USA,United States,2012,2012-01-01,,Weather related,Wildfire,1350
USA,United States,2012,2012-01-01,,Weather related,Storm,20000
USA,United States,2012,2012-01-01,,Weather related,Wildfire,145
USA,United States,2012,2012-01-01,,Weather related,Flood,500
USA,United States,2012,2012-01-01,,Weather related,Wet mass movement,8
USA,United States,2012,2012-01-01,,Weather related,Storm,18
USA,United States,2012,2012-01-01,,Weather related,Wildfire,75
USA,United States,2012,2012-01-01,,Weather related,Wildfire,33
USA,United States,2013,2013-01-08,Severe Storms and Flooding,Weather related,Storm,377
USA,United States,2013,2013-06-16,Texas Rio Grande River flooding,Weather related,Flood,588
USA,United States,2013,2013-07-04,Carpenter 1 Fire,Weather related,Wildfire,520
USA,United States,2013,2013-02-10,"Nebraska storms, winter storms, tornadoes, and flooding",Weather related,Storm,10
USA,United States,2013,2013-06-20,"Severe Storms, Flooding, and Mudslides",Weather related,Storm,2
USA,United States,2013,2013-06-13,Severe Storms and Flooding,Weather related,Storm,270
USA,United States,2013,2013-08-05,"California wildfires (Clover, Silver, Falls, Rim Fire, Springs fires)",Weather related,Wildfire,15807
USA,United States,2013,2013-08-17,"Oregon wildfires (Government Flats Complex, Douglas Complex, Brimstone, and Pacifica fires)",Weather related,Wildfire,820
USA,United States,2013,2013-06-26,"Severe Storms, Tornadoes, And Flooding",Weather related,Storm,195
USA,United States,2013,2013-02-08,"Severe Storms, Straight-line Winds, and Flooding",Weather related,Storm,681
USA,United States,2013,2013-08-13,Rockport Five Fire,Weather related,Wildfire,500
USA,United States,2013,2013-05-31,Mississippi severe storms and flooding,Weather related,Storm,399
USA,United States,2013,2013-06-05,"Colorado wildfires (Black Forest, East Peak, West Fork Complex fires)",Weather related,Wildfire,43416
USA,United States,2013,2013-09-09,2013 Colorado Floods,Weather related,Flood,101470
USA,United States,2013,2013-08-02,Severe Winter Storm,Weather related,Storm,1708
USA,United States,2013,2013-05-18,Oklahoma Severe Storms and Tornadoes,Weather related,Storm,10141
USA,United States,2013,2013-10-30,Severe Storms and Flooding,Weather related,Storm,2017
USA,United States,2013,2013-07-24,"Washington wildfires (Eagle, Mile Post 10, Colockum Tarps & Mile Marker 28 fires)",Weather related,Wildfire,795
USA,United States,2013,2013-07-22,"Severe Storms, Straight-line Winds, Tornadoes, and Flooding",Weather related,Storm,150
USA,United States,2013,2013-08-02,"Severe Storms, Straight-line Winds, Tornadoes, and Flooding",Weather related,Storm,300
USA,United States,2013,2013-06-18,Arizona wildfires (Doce fire; Dean Peak fire; Yanell Hill),Weather related,Wildfire,3040
USA,United States,2013,2013-06-19,Stuart Creek 2 Fire,Weather related,Wildfire,1500
USA,United States,2013,2013-07-08,Idaho wildfires (Beaver Creek and Elk fires),Weather related,Wildfire,2356
USA,United States,2013,2013-07-14,Montana wildfires (Lolo Creek Complex fire and West Mullan fire),Weather related,Wildfire,803
USA,United States,2014,2014-10-02,Storm across Texan territory,Weather related,Storm,11
USA,United States,2014,2014-06-01,Verona tornado,Weather related,Storm,49
USA,United States,2014,2014-07-13,Moccasin Hill Fire,Weather related,Wildfire,100
USA,United States,2014,2014-12-11,Glendora storm ('Pineapple Express' effects),Weather related,Storm,1000
USA,United States,2014,2014-08-11,Storms and flooding in South-East Michigan,Weather related,Flood,3208
USA,United States,2014,2014-08-12,Happy Camp Complex fire,Weather related,Wildfire,274
USA,United States,2014,2014-08-03,San Bernardino flash flood,Weather related,Flood,2000
USA,United States,2014,2014-04-25,North Carolina storms and tornadoes,Weather related,Storm,868
USA,United States,2014,2014-08-18,Kentucky flooding,Weather related,Flood,161
USA,United States,2014,2014-07-18,Way Fire,Weather related,Wildfire,4250
USA,United States,2014,2014-08-02,Snag Canyon Fire,Weather related,Wildfire,20
USA,United States,2014,2014-06-13,Shirley Fire,Weather related,Wildfire,500
USA,United States,2014,2014-07-31,Eiler Fire,Weather related,Wildfire,600
USA,United States,2014,2014-07-30,Oregon Gulch Fire,Weather related,Wildfire,15
USA,United States,2014,2014-07-30,Beaver Complex Fire,Weather related,Wildfire,61
USA,United States,2014,2014-08-05,Rowena fire,Weather related,Wildfire,735
USA,United States,2014,2014-04-28,Florida storms and flooding,Weather related,Flood,2917
USA,United States,2014,2014-08-24,Oregon Fire,Weather related,Wildfire,375
USA,United States,2014,2014-01-01,Typhoon Vongfong (locally: Typhoon no.19),Weather related,Storm,191
USA,United States,2014,2014-09-05,Bridge Fire,Weather related,Wildfire,1300
USA,United States,2014,2014-09-07,Tropical storm Iselle,Weather related,Storm,150
USA,United States,2014,2014-09-08,Heavy rainfall in Arizona,Weather related,Flood,260
USA,United States,2014,2014-09-15,Boles Fire,Weather related,Wildfire,2000
USA,United States,2014,2014-08-24,South Napa quake,Geophysical,Earthquake,39
USA,United States,2014,2014-09-08,Heavy rainfall in Nevada,Weather related,Flood,90
USA,United States,2014,2014-04-30,TBC,Weather related,Storm,42
USA,United States,2014,2014-04-22,Oso mudslide,Weather related,Wet mass movement,96
USA,United States,2014,2014-12-01,Southern California flood ('Pineapple Express' effects),Weather related,Flood,46
USA,United States,2014,2014-01-16,Colby fire,Weather related,Wildfire,3600
USA,United States,2014,2014-03-22,Washington flooding and mudslides,Weather related,Flood,78
USA,United States,2014,2014-04-29,Faulkner County tornado,Weather related,Storm,686
USA,United States,2014,2014-09-13,King Fire,Weather related,Wildfire,2819
USA,United States,2014,2014-06-16,Platteville tornado,Weather related,Storm,31
USA,United States,2014,2014-09-14,Courtney Fire,Weather related,Wildfire,1000
USA,United States,2014,2014-06-18,Twin tornadoes in Pilger,Weather related,Storm,130
USA,United States,2014,2014-04-14,Chippewa Vista flood,Weather related,Flood,15
USA,United States,2014,2014-06-10,Midwest floods,Weather related,Flood,400
USA,United States,2014,2014-09-13,36 Pit Fire,Weather related,Wildfire,500
USA,United States,2014,2014-04-07,Floods in the South of the US,Weather related,Flood,635
USA,United States,2014,2014-08-02,Devil's Elbow Complex Fire,Weather related,Wildfire,66
USA,United States,2014,2014-10-08,Applegate Fire,Weather related,Wildfire,800
USA,United States,2014,2014-05-02,Local storm in Etowah County (Alabama State),Weather related,Storm,27
USA,United States,2014,2014-07-18,Junction Fire,Weather related,Wildfire,1542
USA,United States,2014,2014-07-09,Washington wildfires,Weather related,Wildfire,634
USA,United States,2015,2015-02-27,Round Fire,Weather related,Wildfire,52
USA,United States,2015,2015-03-15,Tropical Storm Bavi,Weather related,Storm,412
USA,United States,2015,2015-06-17,Southern plains to Ohio valley floods,Weather related,Flood,113
USA,United States,2015,2015-06-28,Sleepy Hollow Fire,Weather related,Wildfire,30
USA,United States,2015,2015-08-12,Canyon Creek Complex,Weather related,Wildfire,600
USA,United States,2015,2015-06-17,Kearny River Fire,Weather related,Wildfire,300
USA,United States,2015,2015-05-14,Typhoon Dolphin,Weather related,Storm,775
USA,United States,2015,2015-01-05,Western Washington floods,Weather related,Flood,60
USA,United States,2015,2015-07-04,Tropical Storm Chan-Hom,Weather related,Storm,32
USA,United States,2015,2015-06-22,Michigan tornadoes,Weather related,Storm,3
USA,United States,2015,2015-10-04,South Carolina floods,Weather related,Storm,1000
USA,United States,2015,2015-05-07,Arkansas storms and flooding,Weather related,Storm,718
USA,United States,2015,2015-12-23,Storms in southern US,Weather related,Storm,707
USA,United States,2015,2015-05-20,Southern plains severe weather,Weather related,Storm,29
USA,United States,2015,2015-08-12,TeePee Springs Fire,Weather related,Wildfire,413
USA,United States,2015,2015-04-02,Kentucky winter storms,Weather related,Storm,1342
USA,United States,2015,2015-02-16,South Plains to Mid Atlantic winter storm,Weather related,Storm,240
USA,United States,2015,2015-08-14,Renner Fire,Weather related,Wildfire,300
USA,United States,2015,2015-08-13,Nine Mile Fire,Weather related,Wildfire,436
USA,United States,2015,2015-08-08,Willow Fire,Weather related,Wildfire,700
USA,United States,2015,2015-10-22,Hurricane Patricia,Weather related,Storm,5374
USA,United States,2015,2015-07-11,Kentucky summer storms,Weather related,Storm,393
USA,United States,2015,2015-09-09,Butte Fire,Weather related,Wildfire,11000
USA,United States,2015,2015-09-12,Valley Fire,Weather related,Wildfire,13000
USA,United States,2015,2015-07-29,Rocky Fire,Weather related,Wildfire,800
USA,United States,2015,2015-05-15,Missouri storms,Weather related,Storm,848
USA,United States,2015,2015-09-13,North Star Complex Fire,Weather related,Wildfire,3829
USA,United States,2015,2015-08-19,Twisp River Fire,Weather related,Wildfire,2600
USA,United States,2015,2015-08-13,Clear Water Complex-Lawyer Branch Fire,Weather related,Wildfire,1200
USA,United States,2015,2015-07-30,Cyclone Soudelor,Weather related,Storm,350
USA,United States,2015,2015-05-06,"Floods in Cleveland, Grady, and Oklahoma Counties",Weather related,Storm,1461
USA,United States,2015,2015-02-20,Southern plains to Carolinas winter storm,Weather related,Storm,238
USA,United States,2015,2015-08-14,Reach Complex Fire,Weather related,Wildfire,1898
USA,United States,2015,2015-07-06,Cape Horn Fire,Weather related,Wildfire,600
USA,United States,2015,2015-06-27,Northern Plains/Southeast and Mid-Atlantic storms,Weather related,Storm,5
USA,United States,2015,2015-01-18,Meridian Fires,Weather related,Wildfire,156
USA,United States,2015,2015-03-04,Winter storm in the Easter states,Weather related,Storm,42
USA,United States,2015,2015-08-10,Goodell Fire,Weather related,Wildfire,200
USA,United States,2015,2015-06-14,Sockeye Fire,Weather related,Wildfire,1700
USA,United States,2015,2015-08-11,Stickpin Fire,Weather related,Wildfire,1352
USA,United States,2015,2015-08-20,Grizzly Bear Fire,Weather related,Wildfire,200
USA,United States,2015,2015-06-15,Card Street Fire,Weather related,Wildfire,300
USA,United States,2015,2015-05-04,Texas floods,Weather related,Flood,4194
USA,United States,2015,2015-06-23,Mid Atlantic and North East severe weather,Weather related,Storm,20
USA,United States,2015,2015-08-01,Municipal Fire,Weather related,Wildfire,520
USA,United States,2015,2015-08-01,Stevens County Complex Fire,Weather related,Wildfire,2600
USA,United States,2015,2015-04-09,Plains to Mid-Atlantic Severe Weather,Weather related,Storm,195
USA,United States,2016,2016-08-31,Gold Canyon Fire,Weather related,Wildfire,660
USA,United States,2016,2016-08-27,Suncrest Fire,Weather related,Wildfire,286
USA,United States,2016,2016-06-11,Baker city tornado,Weather related,Storm,16
USA,United States,2016,2016-07-29,Rock Fire,Weather related,Wildfire,400
USA,United States,2016,2016-04-21,Stoddard Fire,Weather related,Wildfire,44
USA,United States,2016,2016-01-22,Delaware winter storm,Weather related,Storm,50
USA,United States,2016,2016-07-07,Cold Spring Fire,Weather related,Wildfire,2000
USA,United States,2016,2016-09-11,Maui island flash floods,Weather related,Flood,11
USA,United States,2016,2016-07-11,Wisconsin heavy rains and flooding,Weather related,Flood,26
USA,United States,2016,2016-07-30,South Ward Gap Fire,Weather related,Wildfire,130
USA,United States,2016,2016-06-15,Dog Head Fire,Weather related,Wildfire,300
USA,United States,2016,2016-06-20,Twin fires (former: Reservoir and Fish fires),Weather related,Wildfire,2600
USA,United States,2016,2016-03-08,Arkansas storms (March),Weather related,Storm,751
USA,United States,2016,2016-03-07,Texas floods (1st wave),Weather related,Flood,12500
USA,United States,2016,2016-07-22,Soberanes Fire,Weather related,Wildfire,3500
USA,United States,2016,2016-07-02,Kentucky storms,Weather related,Storm,315
USA,United States,2016,2016-03-08,Louisiana  floods (March),Weather related,Flood,4255
USA,United States,2016,2016-07-30,Maryland flash floods,Weather related,Flood,100
USA,United States,2016,2016-07-09,Sage Fire,Weather related,Wildfire,1820
USA,United States,2016,2016-08-31,Hurricane Hermine,Weather related,Storm,4449
USA,United States,2016,2016-05-22,Texas floods (2nd wave),Weather related,Flood,4640
USA,United States,2016,2016-09-28,Hurricane Matthew,Weather related,Storm,875000
USA,United States,2016,2016-11-28,Tennessee wildfires,Weather related,Wildfire,4597
USA,United States,2016,2016-08-11,Louisiana floods (August),Weather related,Flood,45373
USA,United States,2016,2016-11-05,Party Rock Fire,Weather related,Wildfire,1000
USA,United States,2016,2016-08-23,Iowa floods,Weather related,Flood,151
USA,United States,2016,2016-07-22,Sand Fire,Weather related,Wildfire,10000
USA,United States,2016,2016-06-23,Erskine Fire,Weather related,Wildfire,2000
USA,United States,2016,2016-08-13,Clayton Fire,Weather related,Wildfire,4000
USA,United States,2016,2016-04-17,Texas severe storms and flooding,Weather related,Flood,16762
USA,United States,2016,2016-06-22,West Virginia floods,Weather related,Flood,3900
USA,United States,2016,2016-06-04,Old Fire,Weather related,Wildfire,5000
USA,United States,2016,2016-10-03,Beulah Hill Fire,Weather related,Wildfire,1950
USA,United States,2016,2016-10-21,Pennsylvania floods,Weather related,Flood,100
USA,United States,2016,2016-03-09,Mississippi floods,Weather related,Flood,1919
USA,United States,2016,2016-01-29,Oak Grove Fire,Weather related,Wildfire,60
USA,United States,2016,2016-08-16,Blue Cut Fire,Weather related,Wildfire,82000
USA,United States,2016,2016-11-05,Flippers Bend Fire,Weather related,Wildfire,34
USA,United States,2016,2016-10-17,Junkins Fire,Weather related,Wildfire,335
USA,United States,2016,2016-08-21,Spokane Complex Fire,Weather related,Wildfire,50
USA,United States,2016,2016-07-30,Goose Fire,Weather related,Wildfire,303
USA,United States,2016,2016-09-21,Floods in the Upper Midwest,Weather related,Flood,13234
USA,United States,2016,2016-08-16,Cedar Fire,Weather related,Wildfire,700
USA,United States,2017,2017-03-29,United States: Floods - Idaho - 29/03/2017,Weather related,Flood,107
USA,United States,2017,2017-08-25,United States: Tropical cyclone Harvey - Texas ; Louisiana - 25/08/2017,Weather related,Storm,848000
USA,United States,2017,2017-02-27,United States : California floods (March) - 27/02/2017,Weather related,Flood,65
USA,United States,2017,2017-06-08,United States : Cochise County - wildfire - Arizona - 08/06/2017,Weather related,Wildfire,78
USA,United States,2017,2017-05-07,United States : West Mims Fire - Florida - 07/05/2017,Weather related,Wildfire,2000
USA,United States,2017,2017-04-30,United States : Kansas city Storms - 30/04/2017,Weather related,Storm,100
USA,United States,2017,2017-03-20,United States : Boulder wildfire - 20/03/2017,Weather related,Wildfire,1000
USA,United States,2017,2017-02-23,United States : Wagoner Fire - Georgia - 23/02/2017,Weather related,Wildfire,250
USA,United States,2017,2017-06-15,United States :El Cajete Fire - New Mexico - 15/06/2017,Weather related,Wildfire,390
USA,United States,2017,2017-02-20,United States : Coyote Creek Floods - California - 20/02/2017,Weather related,Flood,14000
USA,United States,2017,2017-06-17,United States : Brian Head Fire - Utah - 17/06/2017,Weather related,Wildfire,1562
USA,United States,2017,2017-06-02,United States : Texas Floods - 02/06/2017,Weather related,Flood,39
USA,United States,2017,2017-07-20,United States of America: Arcadia Flooding - Wisconsin - 20/07/2017,Weather related,Flood,200
USA,United States,2017,2017-08-11,United States : Caribou Fire - Montana - 11/08/2017,Weather related,Wildfire,100
USA,United States,2017,2017-07-12,United States: Chetco Bar (Curry) wildfire - July 2017,Weather related,Wildfire,4000
USA,United States,2017,2017-09-25,United States: Canyon fire 1 - California - September 2017,Weather related,Wildfire,1500
USA,United States,2017,2017-09-03,United States: Mission (Madera)  wildfire - California - September 2017,Weather related,Wildfire,520
USA,United States,2017,2017-08-29,United States: Railroad (Mariposa) wildfire - California - August 2017,Weather related,Wildfire,600
USA,United States,2017,2017-02-16,United States :  Worland flood - Wyoming - 16/02/2017,Weather related,Flood,260
USA,United States,2017,2017-09-25,United States: Cascade Fire -  California -25/09/2017,Weather related,Wildfire,286
USA,United States,2017,2017-01-21,United States:  Southern Georgia Tornado - 25/01/2017,Weather related,Storm,2860
USA,United States,2017,2017-05-05,United States : Wildfire - Charlton County -Georgia - 06/05/2017,Weather related,Wildfire,156
USA,United States,2017,2017-02-19,United States : California - Floods - 19/02/2017,Weather related,Flood,1500
USA,United States,2017,2017-02-07,United States : Tornado - Louisiana - 07/02/2017,Weather related,Storm,419
USA,United States,2017,2017-08-17,United States of America: Milli Fire  - 17/08/2017,Weather related,Wildfire,1625
USA,United States,2017,2017-07-24,"United States: Wildfire - Rice Ridge, Montana - 24-07-2017",Weather related,Wildfire,2415
USA,United States,2017,2017-07-07,United States of America: Wall Fire - Wildfire - California - 09/07/2017,Weather related,Wildfire,4000
USA,United States,2017,2017-09-09,United States: Eagle Creek Fire - Oregon - 02/09/2017,Weather related,Wildfire,2000
USA,United States,2017,2017-10-23,United States : North Carolina Tornado - 26/10/2017,Weather related,Storm,49
USA,United States,2017,2017-01-04,United States :  California flood - 11/01/2017,Weather related,Flood,17056
USA,United States,2017,2017-08-11,United States : Utah Uintah Fire - Utah - 05/09/2017,,,309
USA,United States,2017,2017-12-11,United States : Legion Lake Fire - South Dakota - 11/12/2017,Weather related,Wildfire,235
USA,United States,2017,2017-04-29,United States : Arkansas and Missouri Floods - 29/04/2017,Weather related,Flood,611
USA,United States,2017,2017-04-27,United States : North Carolina Floods - 27/04/2017,Weather related,Flood,30
USA,United States,2017,2017-07-15,United States: Lolo Peak wildfire - Montana - July 2017,Weather related,Wildfire,743
USA,United States,2017,2017-04-21,United States : Golden Gate Estates fires- Florida - 21/04/2017,Weather related,Wildfire,7280
USA,United States,2017,2017-07-14,United States of America: Cold Springs Fire – Nevada - 14/072017,Weather related,Wildfire,200
USA,United States,2017,2017-07-17,United States of America : Oil Well Fire - Nevada- 17/07/2017,Weather related,Wildfire,1000
USA,United States,2017,2017-06-23,United States :  Goodwin Fire - Arizona - 23/06/2017,Weather related,Wildfire,10000
USA,United States,2017,2017-05-02,United States : Arkansas floods - 02/05/2017,Weather related,Flood,300
USA,United States,2017,2017-01-23,United States :  Santa Clarita - Floods - California  - 23/01/2017,Weather related,Flood,273
USA,United States,2017,2017-01-09,United States : California and Nevada  Floods - 09/01/2017,Weather related,Flood,4604
USA,United States,2017,2017-12-04,"United States :   Southern California Wildfires (Thomas, Creek, Rye, Skirball, Lilac)  - California - 04/12/2017",Weather related,Wildfire,203700
USA,United States,2017,2017-08-11,United States: Wildfire - Jolly Mountain (Kittitas) - 11/08/2017,Weather related,Wildfire,1680
USA,United States,2017,2017-08-30,United States: Moose Peak wildfire - Montana - August 2017,Weather related,Wildfire,24
USA,United States,2017,2017-08-28,United States: Wildfire - Highway 200 - Montana - 28-08-2017,Weather related,Wildfire,100
USA,United States,2017,2017-07-25,United States : Preacher Fire - Nevada - 25/07/2017,Weather related,Wildfire,1350
USA,United States,2017,2017-06-28,United States : South Wenas Fire - Washington - 28/06/2017,Weather related,Wildfire,40
USA,United States,2017,2017-05-02,United States : Missouri Floods - 02/05/2017,Weather related,Flood,100
USA,United States,2017,2017-07-17,United States of America: Detwiler Fire - 17/07/2017,Weather related,Wildfire,4968
USA,United States,2017,2017-08-30,United States: Helena (Trinity) wildfire - California - August 2017,Weather related,Wildfire,2000
USA,United States,2017,2017-08-30,United States: West Fork wildfire - Montana - August 2017,Weather related,Wildfire,182
USA,United States,2017,2017-04-04,United States : Louisiana thunderstorms - 04/04/2017,Weather related,Storm,18
USA,United States,2017,2017-03-07,United States : Kansas and Oklahoma  wildfires - 07/03/2017,Weather related,Wildfire,19300
USA,United States,2017,2017-10-09,United States: Canyon fire 2 - California - October 2017,Weather related,Wildfire,62
USA,United States,2017,2017-07-22,United States: Alice Creek Wildfire - Montana - July 2017,Weather related,Wildfire,30
USA,United States,2017,2017-08-11,United States of America:  West Virginia Floods -  Virginia - 18/08/2017,Weather related,Flood,75
USA,United States,2017,2017-10-08,United States: Wildfires - California - October 2017,Weather related,Wildfire,106000
USA,United States,2017,2017-07-07,United States: Roach Fire - Wildfire - 08/07/2017,Weather related,Wildfire,800
USA,United States,2017,2017-08-25,United States: Strawberry fire - Montana - August 2017,Weather related,Wildfire,87
USA,United States,2017,2017-02-12,United States :  Oroville Dam release flood - California - 12/02/2017,Weather related,Flood,190000
USA,United States,2017,2017-10-09,United States : Lobo Fire - California - 09/10/2017,Weather related,Wildfire,2000
USA,United States,2017,2017-08-27,15 countries - Hurricane Irma - 27/08/2017,Weather related,Storm,201689
USA,United States,2017,2017-01-08,United States:  Floods in California and Nevada- 08/01/2017,Weather related,Flood,4040
USA,United States,2017,2017-02-22,United States : San José Floods - California - 22/02/2017,Weather related,Flood,14000
USA,United States,2017,2017-07-24,"United States : South Vestal, New York- Floods - 24/07/2017",Weather related,Flood,29
USA,United States,2017,2017-07-08,United States of America: Whittier Fire  - California - 08/07/2017,Weather related,Wildfire,800
USA,United States,2018,2018-08-10,USA: Flooding - Mesa (Arizona) - 10/8/2018,Weather related,Flood,30
USA,United States,2018,2018-08-20,"USA: Flooding - State-wide incl. Dane County, Kickapoo Riverm (Wisconsin) - 20/8/2018",Weather related,Storm,380
USA,United States,2018,2018-02-26,United States :  Montgomery County Tornado - 26/02/2018,Weather related,Storm,10
USA,United States,2018,2018-09-06,"USA: Wildfire (Pole Creek and Bald Mountain) - Utah, Juab counties (Utah) - 6/9/2018",Weather related,Wildfire,6000
USA,United States,2018,2018-08-22,"USA: Flood - Martinsburg, Berkeley County (West Virginia) - 22/8/2018",Weather related,Flood,73
USA,United States,2018,2018-10-17,USA: Grass Fire? - Contra Costa County (California) - 17/10/2018,Weather related,Wildfire,4000
USA,United States,2018,2018-07-28,USA: Wildfire (Steele) - Lake Berryessa (California) - 28/7/2018,Weather related,Wildfire,200
USA,United States,2018,2018-04-30,United States: Storm - Chicago; Cleaveland; Ohio; Erie; Pennsylvania; New York - 30/04/2018,Weather related,Storm,200
USA,United States,2018,2018-08-08,USA: Tornado - Lincoln county (North Carolina) - 8/8/2018,Weather related,Storm,3
USA,United States,2018,2018-08-06,USA: Flooding - Passaic County (New Jersey) - 10/8/2018,Weather related,Flood,80
USA,United States,2018,2018-10-03,"USA: Flood - Manteca, San Joaquin County (California) - 3/10/2018",Weather related,Flood,19
USA,United States,2018,2018-06-01,USA: Wildfire - Laguna Beach (California) - 1/6/2018,Weather related,Wildfire,5577
USA,United States,2018,2018-05-07,USA: Flood - Missoula (Montana) - 10/5/2018,Weather related,Flood,156
USA,United States,2018,2018-06-12,USA: Wildfire (Buffalo Mountain) - Summity County (Colorado) - 12/6/2018,Weather related,Wildfire,3640
USA,United States,2018,2018-05-31,USA: Wildfire - Ute Park (New Mexico) - 31/5/2018,Weather related,Wildfire,2200
USA,United States,2018,2018-06-11,USA: Wildfire (Milepost 81) - Grant County (Washington) - 11/6/2018,Weather related,Wildfire,8
USA,United States,2018,2018-05-11,POSSIBLY HUMAN INDUCED United States: Viewpoint fire - Yavapai; Arizona - 11/05/2018,Weather related,Wildfire,400
USA,United States,2018,2018-05-31,USA: Storm - Kentucky - 31/5/2018,Weather related,Storm,2
USA,United States,2018,2018-10-10,"USA: Floods - Kingsland, Marble Falls - Llano County (Texas) - 10/10/2018",Weather related,Flood,108
USA,United States,2018,2018-09-10,USA: Floods / Potential Dam Release - Westmoreland County (Pennsylvania) - 10/9/2018,Weather related,Flood,100
USA,United States,2018,2018-10-17,"USA: Floods - Morongo Bay, San Bernadino County (California) - 10/10/2018",Weather related,Flood,5
USA,United States,2018,2018-05-27,USA: Flood - Baltimore (Maryland) - 27/5/2018,Weather related,Flood,6
USA,United States,2018,2018-07-15,USA: Wildfire (Garner Complex) - Josephine and Jackson Counties (Oregon) - 15/7/2018,Weather related,Wildfire,1000
USA,United States,2018,2018-06-12,USA: Wildfire (Badger Creek) - Medicine Bow National Forest (Wyoming) - 12/6/2018,Weather related,Wildfire,1022
USA,United States,2018,2018-06-12,USA: Wildfire - Moab (Utah) - 12/6/2018,Weather related,Wildfire,21
USA,United States,2018,2018-06-07,USA: Wildfire (Soldier) - Mescalero Apache Reservation (New Mexico) - 5/6/2018,Weather related,Wildfire,260
USA,United States,2018,2018-06-08,USA: Flood - Mason City (Iowa) - 8/6/2018,Weather related,Flood,32
USA,United States,2018,2018-07-27,USA: Tornado - Whitemarsh Island (Georgia) - 27/7/2018,Weather related,Storm,3
USA,United States,2018,2018-09-10,"USA: Floods - Greensburg, West Newton (Pennsylvania) - 10/9/2018",Weather related,Flood,65
USA,United States,2018,2018-07-20,USA: Storm - Frankfort (Kentucky) - 20/7/2018,Weather related,Storm,17
USA,United States,2018,2018-03-06,USA: Winter Storm - Northeast - 6/3/2018,Weather related,Storm,154
